authors,year,title,category,time_series,reasoning,verdict
"Júnior, G.A.S.; Silva, A.M.",2022,A simple and efficient incremental missing data imputation method for evolving neo-fuzzy network,C,UNCLEAR,Algorithmic proposal for fuzzy network imputation focusing on efficiency rather than statistical missingness mechanisms.,SKIP
"Zheng, Y.",2026,A Comprehensive Review of Rating Imputation in Recommender Systems: From Data Completion to Inference-Oriented Missing-Data Estimation,B,NO,Comprehensive review substantively addressing inference-oriented missing-data estimation and statistical validity beyond mere data completion in recommender systems.,REVIEW
"Cabrera-Sánchez, J.-F.; Cruz-Corona, C.; Yáñez Escolano, A.; Silva-Ramírez, E.-L.",2025,A Benchmark for Missing Data Imputation Techniques: Development Perspectives and Performance Comparative,C,UNCLEAR,Benchmark comparative study evaluating imputation methods empirically across missingness conditions without theoretical mechanism analysis.,SKIP
"Sadegh, R.; Mohameden, A.; Salihi, M.L.; Nanne, M.F.",2025,"A survey of missing data imputation techniques: statistical methods, machine learning models, and GAN-based approaches",B,UNCLEAR,"Survey explicitly connecting traditional statistical missing-data methods, ML models, and GAN-based approaches, engaging with theoretical perspectives across paradigms.",REVIEW
"Qi, H.; Cao, C.; Rao, Z.; Deng, L.",2025,A Modular Framework for Multimorbidity Prediction with MNAR-Aware Imputation and Label-Enhanced Transformers,B,UNCLEAR,"Explicitly proposes an MNAR-Aware Imputation framework, directly addressing missingness mechanisms in deep learning imputation models.",REVIEW
"Hu, L.; Zou, J.; Gu, C.; Ji, J.; Lopez, M.; Kale, M.",2022,A FLEXIBLE SENSITIVITY ANALYSIS APPROACH FOR UNMEASURED CONFOUNDING WITH MULTIPLE TREATMENTS AND A BINARY OUTCOME WITH APPLICATION TO SEER-MEDICARE LUNG CANCER DATA,D,NO,Focuses on causal inference sensitivity analysis for unmeasured confounding in observational data rather than deep learning imputation of missing values.,SKIP
"Gomes, R.; Paul, N.; He, N.; Huber, A.F.; Jansen, R.J.",2022,Application of Feature Selection and Deep Learning for Cancer Prediction Using DNA Methylation Markers,D,NO,Cancer prediction application using deep learning and feature selection without focus on missing data imputation or mechanisms.,SKIP
"Raja Aswathi, R.; Pazhanikumar, K.",2025,A hybrid framework for heart disease prediction using multi-scale feature map reconstruction with inception in DenseNet and AHP-VIKOR feature selection model,D,NO,Predictive model for heart disease diagnosis without addressing missing data imputation mechanisms or formal statistical validity.,SKIP
"Isaqulov, T.; Taylakova, D.; Bayjonov, F.; Abdurazzaqov, O.; Shomurodov, J.; Mamadiyorov, J.",2026,Approaches to Filling Missing Values in Datasets to Improve the Results of Artificial Intelligence Models,C,UNCLEAR,General empirical study on filling missing values to improve downstream AI performance without formal theoretical mechanism analysis.,SKIP
"Mesquita, D.P.P.; Gomes, J.P.P.; Rodrigues, L.R.",2019,Artificial Neural Networks with Random Weights for Incomplete Datasets,C,UNCLEAR,Evaluates random weight neural networks on incomplete datasets as a predictive/learning strategy without formal missingness mechanism proofs.,SKIP
"Rao, T.C.S.; Khrais, I.M.; Millicent Mabel, M.; Tejaswi, P.L.; Srinija, K.; Ramya, M.",2025,A Novel Missing Data Imputation for Early Chronic Kidney Disease Diagnosis Using ANFIS System and Machine Learning Models,C,NO,Applied medical diagnosis study utilizing ANFIS and ML imputation without theoretical analysis of missingness mechanisms.,SKIP
Not specified,2019,"19th EPIA Conference on Artificial Intelligence, EPIA 2019",D,UNCLEAR,Record represents an entire conference proceedings volume rather than an individual research paper.,SKIP
"Haridas, N.T.; Sanchez-Bornot, J.M.; McClean, P.L.; Wong-Lin, K.",2024,Autoencoder imputation of missing heterogeneous data for Alzheimer's disease classification,C,NO,"Applies autoencoder imputation to Alzheimer's clinical data for downstream classification, treating missingness purely as a practical data challenge.",SKIP
"D'Ambrosio, A.; Aria, M.; Siciliano, R.",2012,Accurate Tree-based Missing Data Imputation and Data Fusion within the Statistical Learning Paradigm,B,NO,"Frames tree-based missing data imputation and data fusion within the statistical learning paradigm, engaging with formal estimation principles.",REVIEW
