authors,year,title,category,time_series,reasoning,verdict
ICDMAI,2024,"8th International Conference on Data Management, Analytics and Innovation, ICDMAI 2024",D,NO,Conference proceedings volume covering various computer science applications without addressing statistical imputation theory.,SKIP
Peker et al.,2021,A hybrid modified deep learning data imputation method for numeric data sets,D,NO,"Proposes an empirical hybrid of Random Forest and Datawig for deep learning imputation, focusing purely on predictive error metrics without statistical theory.",SKIP
Taher et al.,2026,A COMPREHENSIVE REVIEW ON MISSING DATA IMPUTATION TECHNIQUES,C,NO,"Surveys statistical and deep learning imputation algorithms, mentioning statistical inference in general terms without analyzing formal inferential validity.",SKIP
Golhar et al.,2026,A Comprehensive Machine Learning–Driven Predictive Modeling Approach for Early Detection and Risk Assessment of Chronic Kidney Disease Using Clinical and Laboratory Data,C,YES,Incorporates MICE as a preprocessing technique before training temporal deep learning models for clinical risk prediction.,SKIP
Jiao et al.,2026,A dynamic weighted deep-broad learning architecture for wind power interval prediction,C,YES,Employs multiple imputation as a data preprocessing routine for spatial-temporal wind power interval prediction without theoretical statistical bridging.,SKIP
Kampf et al.,2025,A comparison of various imputation algorithms for missing data,C,NO,"Evaluates subroutines within MICE for statistical estimation on coronary artery disease data, focusing on traditional multiple imputation rather than deep learning architectures.",SKIP
Kelly,2018,A neural network analysis of Lifeways cross-generation imputed data 01 Mathematical Sciences 0104 Statistics,D,NO,"Evaluates neural networks for predictive modeling on previously imputed cross-sectional data, without addressing deep learning imputation theory.",SKIP
Singh et al.,2026,A Hybrid Self-supervised Learning Framework for Missing Data Imputation in Cloud-Based Data Mining Systems,C,YES,"Presents a self-supervised diffusion model for cloud missing data streams, referencing MAR/MNAR and MICE as background context.",SKIP
Parveen et al.,2026,A Hybrid Model for Chronic Kidney Disease Prediction Using GWO and Deep Belief Neural Networks,C,NO,Employs MICE for missing value preprocessing prior to feature selection and Deep Belief Neural Network classification.,SKIP
Zhang et al.,2026,A novel multiple imputation approach with recursive feature elimination BiLSTM for spatiotemporally seamless Landsat NDVI reconstruction,C,YES,Uses multiple imputation as an empirical data reconstruction step for BiLSTM remote sensing time series gap filling without addressing statistical inference theory.,SKIP
Sun et al.,2026,A reconstruction method of missing torque data using a simplified neuromusculoskeletal (NMS) model,C,YES,Proposes a biomechanical model for torque time series reconstruction and mentions multiple imputation by chained equations only as a baseline benchmark.,SKIP
Charizanos et al.,2026,A new fuzzy-Bayesian multiple imputation approach for missing data,B,NO,Substantively discusses the statistical validity and uncertainty quantification of deep learning imputation relative to Bayesian multiple imputation without providing a formal proof.,REVIEW
Sharma et al.,2026,A unified framework for groundwater level imputation and forecasting in data-limited catchments,C,YES,Combines multiple imputation by chained equations with neural architecture search as a practical preprocessing pipeline for time series forecasting without theoretical inference analysis.,SKIP
Guo et al.,2026,A robust deep feature learning approach for personalized residential electricity plan recommendation,C,NO,Applies multiple imputation on autoencoder latent features strictly as a preprocessing step in an electricity plan recommender system.,SKIP
Bridge-Nduwimana et al.,2025,A Tabular Data Imputation Technique Using Transformer and Convolutional Neural Networks,B,NO,"Substantively discusses statistical validity, missingness mechanisms (MCAR/MNAR), and uncertainty quantification in deep learning imputation relative to classical multiple imputation.",REVIEW
Jiang et al.,2025,Adaptive weighted multiple imputation with generative adversarial networks for improving wind speed data integrity,C,YES,Combines Generative Adversarial Imputation Networks with a weighted multiple imputation heuristic for time series data without formal statistical inference analysis.,SKIP
Aselisewine & Pal,2025,A Neural Network Integrated Accelerated Failure Time-Based Mixture Cure Model,D,NO,Focuses on integrating neural networks into survival mixture cure models rather than missing data imputation theory.,SKIP
Min et al.,2025,A Risk Prediction Model (CMC-AKIX) for Postoperative Acute Kidney Injury Using Machine Learning: Algorithm Development and Validation,D,NO,Presents a clinical prediction model for kidney injury without addressing deep learning imputation or statistical inference theory.,SKIP
Siddiqi et al.,2025,A Novel Hyper-Tuned Multilayer Perceptron With Effective Stochastic Learning Strategies for Missing Values Imputation,C,NO,"Proposes a multilayer perceptron imputation algorithm evaluated on predictive accuracy, mentioning multiple imputation only as background context.",SKIP
Ali et al.,2025,A Novel AI-Based Integrated Cybersecurity Risk Assessment Framework and Resilience of National Critical Infrastructure,D,NO,Presents a cybersecurity threat detection framework using standard multiple imputation strictly for initial data preprocessing.,SKIP
Richter et al.,2024,A Survey on Multivariate Time Series Imputation Using Adversarial Learning,C,YES,"Provides a literature survey of GAN-based multivariate time series imputation models, categorizing architectures without theoretical statistical validity analysis.",SKIP
Sharma et al.,2024,Adaptive Ensemble Imputation for Trip Data using Deep Reinforcement Learning (AEI-DRL),C,YES,Applies deep reinforcement learning to dynamically weight baseline imputation algorithms for time series data without addressing statistical inference theory.,SKIP
Yuan et al.,2024,A Patch-based Multiple Imputation Transformer Model for Time Series Data Completion,C,YES,Proposes a patch-based Transformer using a multiple imputation training heuristic for time series completion without theoretical statistical grounding.,SKIP
Sahoo et al.,2023,A Novel Smoothing-Based Deep Learning Time-Series Approach for Daily Suspended Sediment Load Prediction,C,YES,Uses Monte Carlo multiple imputation as a preprocessing step prior to Fourier denoising and LSTM hydrological time series forecasting.,SKIP
Ge et al.,2023,A simulation study on missing data imputation for dichotomous variables using statistical and machine learning methods,C,NO,Conducts an empirical simulation comparing machine learning and statistical imputation accuracy across missingness mechanisms without theoretical inference analysis.,SKIP
Min et al.,2023,Acoustic Analysis of Speech for Screening for Suicide Risk: Machine Learning Classifiers for Between- and Within-Person Evaluation of Suicidality,D,NO,Focuses on clinical speech acoustic classification for suicide risk screening and does not address imputation theory.,SKIP
Chen & Xue,2023,A novel coupling preprocessing approach for handling missing data in water quality prediction,C,YES,Applies piecewise multivariate imputation and wavelet denoising before LSTM time series prediction without theoretical statistical analysis.,SKIP
Jiang et al.,2022,A Resilient and Hierarchical IoT-Based Solution for Stress Monitoring in Everyday Settings,D,YES,Proposes a wearable IoT system architecture for stress monitoring and does not address deep learning imputation theory.,SKIP
Wang et al.,2021,"Advances in Data Preprocessing for Biomedical Data Fusion: An Overview of the Methods, Challenges, and Prospects",C,NO,"Reviews biomedical data fusion preprocessing techniques, mentioning missing data handling only as a general background challenge.",SKIP
Gupta et al.,2020,A Novel Deep Similarity Learning Approach to Electronic Health Records Data,D,NO,Presents a deep similarity learning model for EHR disease prediction and does not address missing data imputation theory.,SKIP
Osman et al.,2018,A Survey on Data Imputation Techniques: Water Distribution System as a Use Case,C,YES,Qualitatively reviews traditional and machine learning imputation methods for water systems without examining theoretical statistical inference.,SKIP
Gheyas & Smith,2010,A neural network-based framework for the reconstruction of incomplete data sets,B,NO,"Substantively discusses using neural network ensembles to generate multiple imputations and account for missingness uncertainty in interval estimation, without formal convergence proofs.",REVIEW
Gheyas & Smith,2009,A Novel Nonparametric Multiple Imputation Algorithm for Estimating Missing Data,C,NO,"Proposes a neural network multiple imputation algorithm evaluated on downstream classification accuracy, mentioning multiple imputation as background context.",SKIP
Mitra & Samanta,2017,A study on UCI hepatitis disease dataset using soft computing,D,NO,Applies soft computing and neural networks to medical disease diagnosis using multiple imputation strictly for data preprocessing.,SKIP
Prabhu et al.,2026,Addressing Data Incompleteness in NHANES 2021–2023,B,NO,Substantively evaluates the statistical validity and distributional preservation of deep generative models compared to classical multivariate imputation by chained equations.,REVIEW
Yu et al.,2026,A Novel Approach for Ultra-High Performance Concrete Data Augmentation and Intelligent Prediction Driven by Conditional Generative Adversarial Network-Markov Chain Monte Carlo Model,B,NO,"Substantively discusses statistical correction, Kolmogorov-Smirnov distribution matching, and MCMC integration with generative adversarial networks for statistical validity of synthetic data.",REVIEW
Ranvier et al.,2023,Accounting for Imputation Uncertainty During Neural Network Training,B,NO,Substantively incorporates Rubin's between-variance and imputation uncertainty into neural network training loss functions to improve statistical validity.,REVIEW
Yadav et al.,2025,A Novel Method to Predict Cervical Cancer Using Improved Feature Selection and Classification Principles,D,NO,Applies a machine learning framework for disease prediction using multiple imputation strictly as an initial preprocessing step.,SKIP
Momaya et al.,2026,A Novel Approach for Handling Missing Data in Multivariate Time Series Clustering: Case Study on Predicting Delayed Graft Function,B,YES,Substantively discusses the statistical validity and limitations of deep learning imputation under missingness mechanisms (MAR vs. MNAR) for time series clustering.,REVIEW
Piadeh et al.,2026,Automated novel real-time framework for rainfall data imputation in flood early warning systems,D,YES,The paper proposes a decision tree and KNN ensemble framework for real-time rainfall data imputation without addressing statistical missing data theory.,SKIP
Poyam et al.,2025,Assessment of performance of conventional and machine learning methods for estimating missing precipitation data,D,YES,The paper evaluates ANN and LSTM models against conventional methods for precipitation data using predictive error metrics without connecting to statistical inference theory.,SKIP
Moon et al.,2025,AUGMENTED DOUBLY ROBUST POST-IMPUTATION INFERENCE FOR PROTEOMIC DATA,A,NO,The paper provides a formal statistical framework with provable properties combining variational autoencoders with doubly robust estimation for valid post-imputation inference.,REVIEW
So et al.,2025,Application of machine learning methods in the imputation of heterogeneous co-missing data,C,NO,"The paper evaluates machine learning clustering methods combined with multiple imputation empirically, mentioning multiple imputation only as background.",SKIP
Sharma et al.,2025,"Application of deep learning techniques for analysis and prediction of particulate matter at Kota city, India",C,YES,The paper uses multiple imputation in XLSTAT as a standard preprocessing step before applying LSTM and GRU models for particulate matter prediction.,SKIP
Lisik et al.,2024,Artificial intelligence in pediatric allergy research,C,NO,The paper is a broad review of artificial intelligence applications in pediatric allergy research that mentions missing data and multiple imputation in passing.,SKIP
Xin et al.,2024,An enhanced feature extraction based long short-term memory neural network for wind power forecasting via considering the missing data reconstruction,C,YES,The paper applies standard multiple imputation as a preprocessing step to reconstruct missing samples before wind power forecasting with a CNN-LSTM architecture.,SKIP
Meng et al.,2025,Applying machine learning to understand the role of social-emotional skills on subjective well-being and physical health,D,NO,The paper applies machine learning algorithms to survey data for well-being prediction without addressing deep learning imputation theory or statistical validity.,SKIP
Kim et al.,2024,An Unsupervised Data-Mining and Generative-Based Multiple Missing Data Imputation Network for Energy Dataset,C,YES,"The paper proposes a generative adversarial network for multiple imputation of energy data, but evaluates it empirically without establishing a theoretical bridge to Rubin's inference framework.",SKIP
El Emam et al.,2024,An evaluation of the replicability of analyses using synthetic health data,B,NO,"The paper substantively evaluates the statistical validity of generative AI synthetic data under Rubin's combining rules, analyzing confidence interval coverage, bias, and population inference.",REVIEW
Wang et al.,2022,Are deep learning models superior for missing data imputation in surveys? Evidence from an empirical comparison,B,NO,"The paper substantively evaluates deep learning imputation models (GAIN, MIDAS) against MICE using repeated sampling properties, bias, MSE, and confidence interval coverage under Rubin's framework.",REVIEW
Samal et al.,2021,An improved pollution forecasting model with meteorological impact using multiple imputation and fine-tuning approach,C,YES,The paper uses KNN imputation as a data preprocessing routine before training a Convolutional LSTM sparse autoencoder for pollution forecasting.,SKIP
Dillard et al.,2021,Artificial Intelligence Application in Combustion Modeling,C,NO,The paper applies standard MICE to impute missing fluid properties in physical test datasets before fitting machine learning regression models.,SKIP
McMahon et al.,2020,Approaches to Dealing With Missing Data in Railway Asset Management,C,YES,"The paper reviews practical missing data recovery algorithms for railway asset management, mentioning missingness mechanisms without bridging deep learning to statistical inference theory.",SKIP
Hibbah et al.,2020,An MCMC computational approach for a continuous time state-dependent regime switching diffusion process,D,YES,"The paper uses classical Bayesian MCMC data augmentation for continuous-time diffusion processes, without involving deep learning imputation architectures.",SKIP
Barhate et al.,2018,Analysis of Classifiers for Prediction of Type II Diabetes Mellitus,D,NO,The paper compares standard classification algorithms on the Pima Indians Diabetes dataset without addressing missing data theory or deep learning imputation.,SKIP
Sattari et al.,2017,Assessment of different methods for estimation of missing data in precipitation studies,D,YES,The paper evaluates statistical regression and decision tree methods for missing precipitation estimation based on predictive error metrics without connecting deep learning to statistical validity.,SKIP
Spezia et al.,2008,Bayesian inference and forecasting in dynamic neural networks with fully Markov switching ARCH noises,A,YES,The paper provides a formal Bayesian framework where missing values in dynamic neural networks are treated as unknown parameters and sampled directly from their joint posterior distribution.,REVIEW
Zhang et al.,2004,Bayesian estimation and classification with incomplete data using mixture models,A,NO,The paper formally extends Tanner and Rubin's Data Augmentation framework for multiple imputation to neural mixture models for Bayesian missing data inference.,REVIEW
Qaffou et al.,2022,Bayesian inference of the basic reproduction number for a SIR epidemic model,D,YES,The paper uses classical MCMC data augmentation for basic reproduction number estimation in SIR epidemic models without deep learning imputation.,SKIP
Zhang,2026,An Adaptive Transformer-Based Framework for Evaluating the Digital Literacy of Innovative Talents,D,YES,"The paper presents a Transformer and Deep Q-Network framework for educational evaluation, mentioning missing value handling strictly as a routine data preparation step.",SKIP
Calley et al.,2023,APPLICATION OF PRINCIPAL COMPONENT ANALYSIS FOR POWER TRANSFORMER ASSET MANAGEMENT,D,NO,The paper applies principal component analysis and routine multiple imputation to transformer condition monitoring data without addressing deep learning inference theory.,SKIP
Chatterjee et al.,2023,An ensemble algorithm integrating consensus-clustering with feature weighting based ranking and probabilistic fuzzy logic-multilayer perceptron classifier for diagnosis and staging of breast cancer using heterogeneous datasets,C,NO,The paper uses MICE as a standard preprocessing step before applying an ensemble clustering and MLP classifier for breast cancer diagnosis.,SKIP
Dávila-Morán et al.,2023,Application of Machine Learning Models in Fraud Detection in Financial Transactions,C,NO,"The paper applies machine learning models to financial fraud detection, using standard multiple imputation strictly as a data preprocessing routine.",SKIP
Chen et al.,2018,Assessment of de-spiking algorithms applied to LWD data,C,YES,"The paper evaluates spike detection and replacement in drilling logs, mentioning statistical multiple imputation in passing as an alternative replacement option.",SKIP
Dalai et al.,2025,Air Quality Forecasting using Deformable Graph Convolution Networks with Growth Optimization,C,YES,The paper uses MICE to complete missing air quality values prior to training a Deformable Graph Convolutional Network.,SKIP
Seu et al.,2022,An Intelligent Missing Data Imputation Techniques: A Review,C,NO,"The paper presents an empirical benchmark comparing KNN, BPCA, MICE, and MIDAS using error metrics (MAE/RMSE) without discussing statistical validity or Rubin's inference framework.",SKIP
Manrique et al.,2023,"Application of Artificial Intelligence Tools, Data Processing, and Analysis in the Forecasting of Level and Flow Variables in Wells with Little Data from the Morroa Aquifer",C,YES,The paper uses Multiple Imputation as a data preparation step before training LSTM networks for groundwater level forecasting.,SKIP
Mankouri et al.,2025,Advancing Early Detection of Type 2 Diabetes: A Machine Learning Approach with Combined Clinical Datasets,C,NO,"The paper compares KNN, Hot Deck, and MICE imputation techniques as preprocessing choices for diabetes prediction models.",SKIP
Zhou et al.,2024,An early sepsis prediction model utilizing machine learning and unbalanced data processing in a clinical context,C,NO,The paper uses Multiple Imputation to handle missing clinical values in data preprocessing for an early sepsis prediction model.,SKIP
Gong et al.,2026,Comprehensive Deep Learning Framework for Indoor Localization With BLE RSSI in Dynamic Environments,C,YES,"Mentions MICE as a data interpolation preprocessing step alongside a Transformer model for indoor localization, but does not examine the statistical validity framework or theoretical proofs.",SKIP
Alvars et al.,2026,"Comparative analysis of support vector machines, artificial neural network, random forest and gradient boosting for predictive maintenance in mining machinery and equipment: a case study of Chadormalu Iron Ore Mine",D,NO,"Uses standard missing value imputation only as part of data cleaning for machine learning classification in mining machinery maintenance, without addressing statistical inference theory.",SKIP
Zhou et al.,2026,Benchmarking Data-Driven Imputation Methods for IMU Sensors: A Comprehensive Evaluation Across Scenarios and Parameters,C,YES,Benchmarks 12 empirical imputation methods including MICE and deep learning models on IMU sensors without connecting DL imputation to Rubin's statistical inference theory.,SKIP
Poette et al.,2026,Benchmarking imputation strategies for missing time-series data in critical care using real-world-inspired scenarios,C,YES,"Evaluates deep learning and statistical imputation methods under MCAR and structured missingness mechanisms in critical care time series, but focuses on predictive benchmark accuracy rather than formal statistical validity theory.",SKIP
Sejine et al.,2026,"Bridging gaps in sparse groundwater data: classical, ensemble, and deep learning approaches for single- and multi-well imputation",C,YES,"Mentions MICE as a classical baseline alongside LSTM for groundwater-level gap-filling, without addressing statistical inference theory or Rubin's framework.",SKIP
Fong et al.,2025,Bayesian quantile estimation and regression with martingale posteriors,D,NO,"Develops a Bayesian nonparametric theoretical framework (Quantile Martingale Posterior) for quantile estimation and regression, but does not involve deep learning imputation architectures.",SKIP
Fattahillah et al.,2025,Benchmark of Clean Water Classification Based on Water Quality Index using Deep Learning,D,NO,Uses data imputation as a basic preprocessing step for classifying water quality indices using deep learning models without discussing statistical inference theory.,SKIP
Zahmatkesh et al.,2025,Comparing the Performance of Recurrent Neural Network and Some Well-Known Statistical Methods in the Case of Missing Multivariate Time Series Data,C,YES,"Compares recurrent neural networks (LSTM-D/GRU-D) with statistical methods (MICE, Bootstrapped-EM) under MAR and non-random missingness assumptions in time series, but focuses on empirical performance evaluation rather than theoretical statistical validity.",SKIP
Gendre et al.,2024,Benchmarking imputation methods for categorical biological data,C,NO,"Mentions missing data mechanisms and multiple imputation in a benchmarking framework for categorical species trait data, but does not address Rubin's statistical inference theory.",SKIP
Arias-Muñoz et al.,2024,Comparative analysis of traditional methods and a deep learning approach for multivariate imputation of missing values in the meteorological field,C,YES,"Compares Expectation Maximization with Bootstrap (EMB), MissForest, and LSTM for meteorological time series imputation, focusing on predictive accuracy rather than statistical inference theory.",SKIP
Chen et al.,2024,CDRM: Causal disentangled representation learning for missing data,C,NO,"Mentions conventional multiple imputation as motivation for proposing a causal disentangled VAE framework, but does not formally connect DL imputation to Rubin's statistical inference theory.",SKIP
Kierdorf et al.,2022,Behind the Leaves: Estimation of Occluded Grapevine Berries With Conditional Generative Adversarial Networks,D,NO,"Applies Conditional GANs to synthesize occluded image regions for grapevine berry counting, without addressing statistical missing data inference theory.",SKIP
Abroshan et al.,2023,Conservative Policy Construction Using Variational Autoencoders for Logged Data With Missing Values,A,NO,Formally derives a variational framework using Partial Variational Autoencoders (PVAEs) to estimate the posterior distribution P(X | X_obs) under feature missingness to safely bound uncertainty in offline decision-making policies.,REVIEW
Baddoo et al.,2021,Comparison of Missing Data Infilling Mechanisms for Recovering a Real-World Single Station Streamflow Observation,C,YES,"Compares univariate and multiple imputation methods for single-station streamflow time series recovery, focusing on empirical error metrics without connecting DL imputation to statistical inference theory.",SKIP
Kim et al.,2019,Chronic Disease Prediction Using Character-Recurrent Neural Network in The Presence of Missing Information,C,NO,"Uses a character-recurrent neural network (Char-RNN) to implicitly infer missing clinical values during prediction without requiring separate imputation, but does not address Rubin's statistical inference theory.",SKIP
Yang et al.,2019,Categorical EHR Imputation with Generative Adversarial Nets,C,NO,"Proposes a GAN-based categorical imputation model for EHR data and contrasts it with traditional multiple imputation, but focuses on predictive accuracy rather than formal statistical validity theory.",SKIP
Yilmaz et al.,2019,Completing right-censored data in time-series modelling,C,YES,"Implements ANN-based and Gaussian imputation for completing right-censored time series observations, focusing on predictive modeling performance without addressing Rubin's statistical inference framework.",SKIP
Jordanov et al.,2018,CLASSIFIERS ACCURACY IMPROVEMENT BASED ON MISSING DATA IMPUTATION,C,NO,"Evaluates Multiple Imputation (MI), KNN, and Bagged Trees for imputing missing values in radar signal classification, focusing on classifier accuracy without formal DL statistical inference theory.",SKIP
Yozgatligil et al.,2013,Comparison of missing value imputation methods in time series: the case of Turkish meteorological data,C,YES,"Compares simple interpolation, MLP neural networks, and EM-MCMC multiple imputation on spatio-temporal meteorological time series, focusing on empirical precision metrics.",SKIP
Ng et al.,2009,Comparative Studies in Problems of Missing Extreme Daily Streamflow Records,C,YES,"Evaluates GRNN-GA, k-NN, and multiple imputation for infilling missing daily streamflow records, focusing on empirical error metrics.",SKIP
Moffat et al.,2007,Comprehensive comparison of gap-filling techniques for eddy covariance net carbon fluxes,C,YES,"Reviews and benchmarks 15 gap-filling techniques (including ANNs and Multiple Imputation Methods) for eddy covariance flux time series, assessing empirical reliability of annual flux sums.",SKIP
Tan et al.,2026,Bridging Machine Learning and Clinical Endpoints: A METABRIC-Informed Simulation Study of Missing Data Imputation for RECIST-Based Best Overall Response,B,YES,"Substantively discusses and evaluates the statistical validity of ML/DL imputation (LSTM, MissForest) versus multiple imputation under MAR and MNAR estimand strategies for inferential clinical endpoints (RECIST Best Overall Response) without providing formal mathematical proofs.",REVIEW
Norazizi et al.,2019,Comparison of Artificial Neural Network (ANN) and Other Imputation Methods in Estimating Missing Rainfall Data at Kuantan Station,C,YES,"Compares ANN, Bootstrapped-EM, and MICE for imputing missing daily rainfall data, focusing on empirical MAE/RMSE/R2 performance.",SKIP
Jamil et al.,2015,Constructing partial least squares model in the presence of missing data,C,NO,"Evaluates Multiple Imputation and Neural Network post-processing for partial least squares modeling of missing data, focusing on empirical estimation accuracy.",SKIP
Feng et al.,2025,Coal and gas outburst risk prediction based on improved DBO optimized CNN,D,NO,"Uses MICE as a standard data preprocessing step prior to CNN classification for coal and gas outburst prediction, without addressing statistical inference theory.",SKIP
de Vries et al.,2021,Comparing three machine learning approaches to design a risk assessment tool for future fractures: predicting a subsequent major osteoporotic fracture in fracture patients with osteopenia and osteoporosis,C,NO,"Applies MICE or RSF imputation as preprocessing to missing clinical data before training survival models (Cox, ANN-DeepSurv), without examining the statistical validity of DL imputation.",SKIP
Pang et al.,2025,Conditional Diffusion Model-based Imputation Method for Missing Satellite Telemetry Data,A,YES,Formulates a conditional diffusion deep learning model that formally models the posterior distribution of missing satellite telemetry values P(X_mis | X_obs) given observed conditioning data.,REVIEW
Choi et al.,2024,CONDITIONAL INFORMATION BOTTLENECK APPROACH FOR TIME SERIES IMPUTATION,A,YES,Provides a formal theoretical analysis adapting variational decomposition to prove that the conditional information bottleneck (CIB) framework provides a theoretical foundation for deep learning multiple imputation and uncertainty quantification in time series.,REVIEW
Chu et al.,2024,Causal Interventional Prediction System for Robust and Explainable Effect Forecasting,C,YES,"Combines a variational autoencoder with fully conditional specification of multiple imputations for causal effect prediction, but focuses on causal interventional forecasting rather than the statistical validity bridge between DL imputation and Rubin's framework.",SKIP
Dauletkhan et al.,2025,"Comparative Analysis of Statistical, Machine Learning, and Deep Learning Models for PM2.5 Prediction in Almaty",C,YES,"Evaluates how different imputation techniques (mean, time-based mean, MICE) affect the predictive accuracy of ML and DL models (LSTM, CNN, CNN-LSTM) for air pollution forecasting, without addressing statistical inference theory.",SKIP
Sun et al.,2023,Deep learning versus conventional methods for missing data imputation: A review and comparative study,B,NO,"Substantively reviews and compares deep learning imputation against conventional statistical methods across MCAR, MAR, and MNAR mechanisms, relying on empirical benchmarking rather than formal mathematical proofs.",REVIEW
Tharuksha & Sampath,2026,Data-Driven Prediction of Caprock Breakthrough Pressure and Permeability for CO2 Storage Integrity: A Meta-Analysis,D,NO,Uses standard MICE solely as a routine missing data preprocessing step prior to geological regression modeling without addressing deep learning imputation theory.,SKIP
Surakhi et al.,2026,DeepSIP: A Deep Learning Approach for Sensor Data Imputation and Time Series Forecasting,C,YES,"Proposes a deep learning architecture for sensor time series imputation and forecasting, mentioning MICE and missing data bias only in passing as empirical benchmarks.",SKIP
Le et al.,2026,Data Imputation for Noisy Time-Series Data in Healthcare,C,YES,"Benchmarks MICE-RF against deep learning time-series models for noise reduction and missing data, referencing statistical imputation only as an experimental baseline.",SKIP
Yu et al.,2025,CTDI: CNN-Transformer-Based Spatial-Temporal Missing Air Pollution Data Imputation,D,YES,Presents an engineering CNN-Transformer architecture for spatial-temporal air quality imputation without addressing Rubin missing data inference theory.,SKIP
Suwattananuruk & Chien,2025,Denoising variational autoencoders for smart inspection of wafer probe card PCB channels for advancing quality control for semiconductor manufacturing,C,NO,"Applies a denoising variational autoencoder for semiconductor probe card channel inspection, citing MICE only in passing as an empirical baseline.",SKIP
