authors,year,title,is_imputation,formal_result,mechanism_claim,data_type,verdict
"Zhi Chen, Sarah Tan, Urszula Chajewska, Cynthia Rudin, Rich Caruana",2023,Missing Values and Imputation in Healthcare Data: Can Interpretable Machine Learning Help?,NOT-IMPUTATION,NO,MENTIONS ONLY,Tabular,DOWNGRADE-C/D
"Ricardo Cardoso Pereira, Pedro Henriques Abreu, Pedro Pereira Rodrigues",2022,Partial Multiple Imputation With Variational Autoencoders: Tackling Not at Randomness in Healthcare Data,YES,NO,EMPIRICAL ONLY,Tabular,DOWNGRADE-C/D
"Andrea Francesco Abate, Lucia Cascone, Valeria Fraenza, Michele Nappi, Pierluigi Ritrovato",2026,Constrained conditional LLM-based imputation via iterative chained updates,YES,NO,EMPIRICAL ONLY,Tabular,DOWNGRADE-C/D
"Ruichu Cai, Kaitao Zheng, Junxian Huang, Zijian Li, Zhengming Chen, Boyan Xu, Zhifeng Hao",2025,Causal View of Time Series Imputation: Some Identification Results on Missing Mechanism,YES,NO,FORMAL PROOF,Time series (Multivariate),DOWNGRADE-B
"Aditya Gorla, Ryan Wang, Zhengtong Liu, Ulzee An, Sriram Sankararaman",2025,CACTI: Leveraging Copy Masking and Contextual Information to Improve Tabular Data Imputation,YES,NO,EMPIRICAL ONLY,Tabular,DOWNGRADE-C/D
"Zarin Tahia Hossain, Mostafa Milani",2025,Beyond Accuracy: An Empirical Study of Uncertainty Estimation in Imputation,YES,NO,EMPIRICAL ONLY,Tabular,DOWNGRADE-C/D
"Lei Huang, Meng Song, Hui Shen, Huixiao Hong, Ping Gong, Hong-Wen Deng, Chaoyang Zhang",2023,Deep Learning Methods for Omics Data Imputation,YES,NO,MENTIONS ONLY,Both (Tabular / Time series),DOWNGRADE-C/D
"Fangya Tan, Bowen Long",2026,Bridging Machine Learning and Clinical Endpoints: A METABRIC-Informed Simulation Study of Missing Data Imputation for RECIST-Based Best Overall Response,YES,NO,EMPIRICAL ONLY,Time series (Multivariate),DOWNGRADE-C/D
"Rifaa Sadegh, Ahmed Mohameden, Mohamed Lemine Salihi, Mohamedade Farouk Nanne",2025,"A survey of missing data imputation techniques: statistical methods, machine learning models, and GAN-based approaches",YES,NO,MENTIONS ONLY,Tabular and time series,DOWNGRADE-C/D
"Juan-Francisco Cabrera-Sánchez, Ricardo Cardoso Pereira, Pedro Henriques Abreu, Esther-Lydia Silva-Ramírez",2024,A Perspective on the Missing at Random Problem: Synthetic Generation and Benchmark Analysis,YES,NO,EMPIRICAL ONLY,Tabular,DOWNGRADE-C/D
"Mihir Momaya, Gyorgy Simon, Sergio Duarte, Lisiane Pruinelli",2026,A Novel Approach for Handling Missing Data in Multivariate Time Series Clustering: Case Study on Predicting Delayed Graft Function,YES,NO,EMPIRICAL ONLY,Time series (multivariate),DOWNGRADE-C/D
Yong Zheng,2026,A Comprehensive Review of Rating Imputation in Recommender Systems: From Data Completion to Inference-Oriented Missing-Data Estimation,YES,NO,MENTIONS ONLY,Tabular,DOWNGRADE-C/D
"Antonio D'Ambrosio, Massimo Aria, Roberta Siciliano",2012,Accurate Tree-based Missing Data Imputation and Data Fusion within the Statistical Learning Paradigm,YES,NO,EMPIRICAL ONLY,Tabular,DOWNGRADE-B
"Michael Poette, Sandrine Mouysset, Daniel Ruiz, Vincent Pey, Jean-Marc Alliot, Vincent Minville",2026,Benchmarking imputation strategies for missing time-series data in critical care using real-world-inspired scenarios,YES,NO,EMPIRICAL ONLY,Time series (multivariate),DOWNGRADE-C/D
"Sara Rejeb, Catherine Duveau, Tabea Rebafka",2022,Self-organizing maps for exploration of partially observed data and imputation of missing values,YES,NO,EMPIRICAL ONLY,Tabular,DOWNGRADE-C/D
"Ricardo Cardoso Pereira, Pedro Henriques Abreu, Pedro Pereira Rodrigues",2024,Siamese Autoencoder Architecture for the Imputation of Data Missing Not at Random,YES,NO,EMPIRICAL ONLY,Tabular,DOWNGRADE-C/D
"Richard Serrano, Charlotte Laclau, Baptiste Jeudy, Christine Largeron",2024,Reconstructing the Unseen: GRIOT for Attributed Graph Imputation with Optimal Transport,YES,NO,EMPIRICAL ONLY,Tabular / Graph,DOWNGRADE-C/D
"Xing Wu, Luolin Xiong, Chensheng Liu",2025,Physics-Informed Data Augmentation for Cyber-Physical Power Systems under Mixed Incompleteness Patterns,YES,NO,EMPIRICAL ONLY,Time series (multivariate),DOWNGRADE-C/D
"Yue Yin, Jiaoyun Yang, Ning An",2026,SCImputation: Mitigating Feature Confounding From a Structural Causal Perspective for Data Imputation,YES,NO,EMPIRICAL ONLY,Tabular,DOWNGRADE-B
"Zongyu Dai, Emily Getzen, Qi Long",2024,SADI: Similarity-Aware Diffusion Model-Based Imputation for Incomplete Temporal EHR Data,YES,NO,EMPIRICAL ONLY,Time series (multivariate),DOWNGRADE-C/D
"David K. Lim, Naim U. Rashid, Junier B. Oliva, Joseph G. Ibrahim",2021,Unsupervised Imputation of Non-ignorably Missing Data Using Importance-Weighted Autoencoders,YES,NO,EMPIRICAL ONLY,Tabular,DOWNGRADE-B
"Marine Le Morvan, Julie Josse, Erwan Scornet, Gaël Varoquaux",2021,What's a good imputation to predict with missing values?,NOT-IMPUTATION,NO,MENTIONS ONLY,Tabular,DOWNGRADE-C/D
"Gift Khangamwa, Terence L. van Zyl, Clint J. van Alten",2022,"Towards a methodology for addressing missingness in datasets, with an application to demographic health datasets",YES,NO,EMPIRICAL ONLY,Tabular,DOWNGRADE-C/D
